name,url,jobs_url,crunchbase_slug
ZocDoc,http://www.zocdoc.com/,http://www.zocdoc.com/careers,zocdoc
Zeel,http://Zeel.com,,zeel
Yog,http://www.getyog.com,,yog
Yodle,http://www.yodle.com/,http://www.yodle.com/careers,yodle
Yipit,http://yipit.com,http://yipit.com/jobs/,yipit
Yext,http://www.yext.com,http://www.yext.com/company-careers.html,yext
YellowHammer Media,http://www.yhmg.com/,http://www.yhmg.com/jobs.php,yellowhammer-media-group
Ycharts,http://ycharts.com,http://ycharts.com/about/jobs,ycharts
YAP Trackers,http://www.yaptracker.com,,yap
Xtify,http://xtify.com,,xtify
Work Market,https://www.workmarket.com/,https://www.workmarket.com/jobs,work-market
WNYC,http://www.wnyc.org/,http://www.wnyc.org/careers/,wnyc
Winito Athletics,http://www.winitoathletics.com/,http://www.winitoathletics.com/jobs.aspx,winito
Warby Parker,http://www.warbyparker.com,http://www.warbyparker.com/jobs,warby-parker
WANT!,http://want.it,,want
Wanderfly,http://www.wanderfly.com,http://blog.wanderfly.com/jobs/,wanderfly
VYou,http://www.vyou.com,,vyou
Voxy,http://www.voxy.com,http://voxy.com/about/jobs/en/,voxy
Voxel,http://voxel.net/,http://voxel.net/jobs,voxel-dot-net
Vouch2Go,http://www.vouch2go.com,,vouch2go
Vixely,http://vixely.com,,vixely
Visual Revenue,http://visualrevenue.com,http://visualrevenue.com/aboutus/jobs,visual-revenue
Vindico,http://vindicogroup.com/,,vindico
Vimeo,http://www.vimeo.com,http://www.vimeo.com/jobs,vimeo
VenueBook,http://www.venuebook.com,,venuebook
Urtak,https://urtak.com/,http://about.urtak.com/jobs,urtak
Updater,http://www.updater.com,,updater
Unroll.me,http://unroll.me,,unroll-me
Unigo,http://www.unigo.com,,unigo
Uncommon Goods,http://www.uncommongoods.com/,http://www.uncommongoods.com/careers,uncommon-goods
TxtImpact,http://www.TxtImpact.com,,txtimpact-sms-mobile-marketing
Tutorspree,http://www.tutorspree.com,http://startups.hackruiter.com/tutorspree,tutorspree
TurnTo Networks,http://www.turnto.com,http://seeker.dice.com/jobsearch/servlet/JobSearch?op=101&dockey=xml/5/b/5b0c31d713c399a9c4eaa6fa0c5186ea@endecaindex&c=1&source,voxel-dot-net
Tunecore,http://www.tunecore.com,,tunecore
Tumblr,http://www.tumblr.com/about,http://www.tumblr.com/jobs,tumblr
Trendabl,http://www.trendabl.com,http://trendabl.com/jobs,trendabl
Travel Tripper,http://www.traveltripper.com,http://www.linkedin.com/jsearch?page_num=1&sortCriteria=DD&keepFacets=&facet_COMPANY=242998&trk=NUS_CMPY_FOL-jobt,travel-tripper
TradeCard,http://tradecard.com/app/bin/index.html,http://www.tradecard.com/about/careers.html,tradecard
Tracks,http://www.tracks.io,,tracks
Toura,http://toura.com/,http://toura.com/jobs,toura
totsy,http://www.totsy.com/,http://www.totsy.com/pages/careers,totsy
Tip or Skip,http://www.tiporskip.com,,tip-or-skip
Timehop,http://timehop.com/,http://timehop.com/joinus,timehop
Thumb,http://thumb.it,,opinionaided
Thrillist,http://thrillist.com,http://www.thrillist.com/careers/,thrillist-com
TheStreet,http://www.thestreet.com,http://corporate.thestreet.com/employment,thestreet
TheLadders,http://www.theladders.com/,http://careers.theladders.com/current-openings/,theladders
Thefuture.fm,http://thefuture.fm,,thefuturefm
The Mindriot,http://themindriot.com,,the-mindriot
The Echo System,http://www.theechosystem.com,,the-echo-system
Svpply,http://www.svpply.com,,svpply
Superpowered,http://www.superpoweredhq.com,,superpowered
SumAll,http://www.sumall.com,,sumall
Sulia,http://www.sulia.com,http://www.sulia.com/jobs,tlists
StyleCaster,http://www.stylecaster.com,,stylecaster
StreetEasy,http://streeteasy.com,,streeteasy
STELLAService,http://www.stellaservice.com/,http://www.stellaservice.com/about_jobs/,stellaservice
Stamped,http://www.stamped.com,,stamped
Squarespace,http://www.squarespace.com,careers.squarespace.com,squarespace
Sponsor Hub,http://www.sponsorhub.com,http://www.sponsorhub.com/careers,sponsorhub
Spinlister,http://spinlister.com/,http://blog.spinlister.com/post/11624000913/hustlers-please-apply,spinlister
Songza,http://www.songza.com,,songza
Songtrust,http://songtrust.com,http://blog.songtrust.com/jobs,songtrust
Sonar,http://www.sonar.me,http://www.sonar.me/jobs,sonar
Solvate,http://www.solvate.com,,solvate-com
Sociocast,http://www.sociocast.com,http://www.sociocast.com/careers.php,sociocast-networks
SocialFlow,http://www.socialflow.com/,,socialflow
Social Fresh,http://socialfresh.com,,social-fresh
Snooth Media,http://www.snooth.com,http://www.snooth.com/jobs/,snooth
SnapGoods,http://snapgoods.com,,snapgoods-com
SNAP Interactive,http://www.snap-interactive.com,http://www.snap-interactive.com/jobs,snap-interactive-inc
Smartling,http://www.smartling.com,,smartling
Slader,http://www.slader.com/,http://www.slader.com/jobs,slader
Skillshare,http://www.skillshare.com/,http://www.skillshare.com/careers,skillshare
SinglePlatform,http://www.singleplatform.com,,singleplatform
Signpost,http://www.signpost.com,http://www.signpost.com/careers,signpost
SideTour,http://www.sidetour.com,,sidetour
ShowMe,http://www.showme.com,http://www.showme.com/careers,showme
Shoptiques,http://www.shoptiques.com,http://www.shoptiques.com/careers,shoptiques
ShopKeep.com,http://www.shopkeep.com,http://shopkeep.jobscore.com/list,shopkeep-com
Shelby.tv,http://shelby.tv/,http://shelby.tv/blog/workwithus,shelby-tv
Shapeways,http://www.shapeways.com,http://www.shapeways.com/jobs,shapeways
Sense Networks,http://www.sensenetworks.com/,http://www.sensenetworks.com/about_careers.php,sense-networks
Send Word Now,http://www.sendwordnow.com,,sendwordnow
SecondMarket,http://www.secondmarket.com,https://www.secondmarket.com/careers?t=hlo,secondmarket
SeatGeek,http://seatgeek.com,http://seatgeek.com/jobs/,seatgeek
Seamless Receipts,http://www.seamlessreceipts.com,,seamlessreceipts
Schoology,http://www.schoology.com,https://www.schoology.com/jobs.php,schoology
Savored,http://Savored.com,http://Savored.com/jobs,savored
SalonPulse,http://www.salonpulse.com,,salonpulse
Sailthru,http://sailthru.com,https://www.sailthru.com/careers,sailthru
RocketHub,http://www.Rockethub.com,,rockethub
Rock the Post,http://www.rockthepost.com,http://www.rockthepost.com/careers,rock-the-post
Roboinvest,http://www.roboinvest.com//,,roboinvest
RightsFlow,http://www.rightsflow.com,,rightsflow
Rentenna,http://www.rentenna.com,,rentenna
Rent the Runway,http://www.renttherunway.com,http://www.renttherunway.com/careers,rent-the-runway
Refinery29,http://www.refinery29.com,http://www.refinery29.com/careers,refinery29
RedRover,http://redroverapp.com,,redrover
Red Rover,http://redroverhq.com,,red-rover
RecordSetter,http://recordsetter.com/,http://recordsetter.com/jobs,universal-record-database
reComparison,http://recomparison.com,,comparisonz-com
Readability,http://www.readability.com,,readability
Quirky,http://www.quirky.com,http://www.quirky.com/about#careers,quirky
Producteev,http://www.producteev.com,http://jobs.producteev.com,producteev
Pricing Engine,http://www.pricingengine.com,https://www.pricingengine.com/Home/Careers,pricing-engine
PostHelpers,http://www.posthelpers.com,,posthelpers
Plyfe,http://plyfe.me/,http://blog.plyfe.me/jobs,plyfe
Pixable,http://www.pixable.com/,http://www.pixable.com/about_us/jobs.php,pixable
Piictu,http://www.piictu.com,,piictu
PetFlow,http://www.petflow.com,,petflow
Perpetually,http://perpetually.com,,perpetually-com
PeekYou,http://www.peekyou.com,http://www.peekyou.com/jobs,peekyou
Peek,http://www.peek.ly,http://www.peek.ly/blog/?s=hiring,peek
Parse.ly,http://parsely.com,,parsely
Paperless Post,http://www.paperlesspost.com,http://www.paperlesspost.com/jobs,paperless-post
Panelfly,http://www.panelfly.com,,panelfly
Oyster,http://www.oyster.com,http://www.oyster.com/about/jobs/,oyster-hotel-reviews
OpenSky,http://opensky.com,https://opensky.com/content/jobs,opensky
OnSwipe,http://www.onswipe.com,http://blog.onswipe.com,onswipe
OneWire,https://www.onewire.com/,https://www.onewire.com/f_13-OneWire-Inc.aspx,onewire
Onepager,http://onepagerapp.com,mailto:hi@onepagerapp.com,onepager
OLO,http://www.olo.com,,olo
OfferPop,http://offerpop.com/,http://offerpop.com/SiteCareers.psp,offerpop
nrelate,http://www.nrelate.com,http://nrelate.com/jobs/,nrelate
NoSQL Weekly,http://www.nosqlweekly.com,,nosql-weekly
Noom,http://www.noom.com/,http://www.noom.com/jobs/,noom
Next Jump,http://www.nextjump.com/,http://www.nextjump.com/about/careers,next-jump
NewsLook,http://www.newslook.com,,issues-tv
NewsCred,http://newscred.com/,,newscred
News.me,http://www.news.me,http://www.news.me/jobs,news-me
New Work City,http://nwc.co,,new-work-city-3
Nestio,http://nestio.com/,,nestio
Naked Apartments,http://www.nakedapartments.com,,naked-apartments
